ID_REF	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
A_32_P120043	42.815127062548015	-0.002658410587167945	0.04070402408658137	1.1794584971733633e-8	1.9266055133110715e-6	TRUE
A_32_P16918	93.0663212548141	-0.002660049120170635	0.04070989312338454	1.7700996366056576e-4	0.015025690497066658	TRUE
A_32_P64598	112.72517357686047	-0.002662726924397785	0.04070655304535864	1.724282281692367e-7	2.2731695675044067e-5	TRUE
A_24_P320410	133.06033890887858	-0.002663084896134223	0.0407120804484562	2.6137008058001284e-6	3.0357431455468913e-4	TRUE
A_24_P725998	144.21064177814327	-0.002667104643262519	0.040712069558146664	1.0112880061392753e-11	6.797181680608245e-9	TRUE
A_24_P945069	131.7069911234237	-0.002671732945903932	0.040709368046673675	5.799520243502843e-9	1.0118311914196449e-6	TRUE
A_24_P153611	192.6754836428644	-0.002671910826962739	0.040711472390854944	6.896966551091131e-5	0.006412145773123274	TRUE
A_32_P82204	58.40147753614974	-0.0026752989109899952	0.04071409731251536	1.2448181486643539e-4	0.011047087466501841	TRUE
A_32_P83434	251.15123790157259	-0.002677419253671141	0.040711479117505264	1.2983454295514793e-11	8.065479183577371e-9	TRUE
A_24_P49267	120.31885411683923	-0.0026787775813553434	0.0407114629251348	2.9421421986638275e-4	0.023652515714748416	TRUE
A_23_P152906	136.39147289747353	-0.0026811885383529687	0.040711025434851784	4.6245215131927614e-4	0.03577460038507608	TRUE
A_24_P215069	72.3529297837892	-0.002682350205978699	0.04071076322910587	8.593611245948494e-10	2.0366361912363482e-7	TRUE
A_24_P933530	55.56645159680452	-0.002689362545075726	0.04071239392343858	5.459853916034648e-9	9.64887976540606e-7	TRUE
A_23_P200024	122.14602211451735	-0.002691747900019289	0.0407117908038888	5.664733038350577e-4	0.04311472298262239	TRUE
A_23_P9496	67.9131293139923	-0.002692680538111454	0.04071327993147577	1.5899642812632045e-9	3.343001822143148e-7	TRUE
A_32_P464135	103.72383135898995	-0.002694888550399498	0.04071521553975547	3.5500682386984416e-9	6.469013234961605e-7	TRUE
A_24_P935163	276.5326035144163	-0.002700344210185516	0.04071370446231949	1.7836879566424818e-4	0.015109753351723503	TRUE
A_23_P355394	54.85506875507702	-0.0027110639556511312	0.04071212354027581	8.491113113113366e-9	1.4151855188522276e-6	TRUE
A_24_P552374	161.58109899027363	-0.0027147370232991487	0.04071537369996727	1.2970821508255924e-4	0.011461286246519242	TRUE
A_23_P367995	38.564448310678536	-0.0027291553429120577	0.0407163160437498	1.0906196896139832e-7	1.5005170226232656e-5	TRUE
A_23_P161135	209.95251299780793	-0.0027312413319908646	0.04071972275907976	5.610696094194659e-9	9.83070683170859e-7	TRUE
A_23_P361596	18.98245365504188	-0.0027382143470026034	0.040718471012595195	9.515112051507671e-6	0.0010212554819681008	TRUE
A_24_P246229	195.95376900096676	-0.0027427449901321586	0.04071755037232718	2.51995199638154e-4	0.02066360637032863	TRUE
A_23_P325122	18.059184512044713	-0.002743411981613421	0.04071454388500896	7.223254053743111e-6	7.961113338802891e-4	TRUE
A_32_P196380	131.4679743890072	-0.002750009720444289	0.04071668141945545	1.7833207916454707e-10	6.160616789021625e-8	TRUE
A_23_P166758	115.86205327385461	-0.0027511232256769496	0.04071923593037861	3.561941120360377e-5	0.0034443298569522517	TRUE
A_24_P326491	77.82945719267481	-0.0027567650969979106	0.04072152408685302	9.599412058097434e-10	2.2362266726249707e-7	TRUE
A_24_P400180	273.173443756297	-0.002757245737304317	0.040719661962221085	2.8428629746628284e-5	0.0028153956995453132	TRUE
A_32_P149546	64.70555900948484	-0.0027595640838836595	0.040717408354081136	1.312206219816681e-9	2.8848021199708343e-7	TRUE
A_24_P162273	77.12342744857543	-0.002762074287049168	0.040721360750765	9.123871203350736e-10	2.1498776973412655e-7	TRUE
A_32_P73143	74.65289882261483	-0.0027631067779855306	0.040718824158865775	3.9017198673299194e-10	1.1265529194403288e-7	TRUE
A_23_P134162	36.78516509432319	-0.0027643389019170114	0.04072164807949405	2.2061039293746772e-7	2.853320539569772e-5	TRUE
A_24_P169892	149.46749584068104	-0.0027643791912846417	0.04072115975593092	3.0143051226695682e-5	0.0029779881934807783	TRUE
A_24_P763361	90.58116920506917	-0.0027644295750495554	0.04072362539841788	5.845775901314926e-10	1.5416589320468502e-7	TRUE
A_24_P143324	8.932424763559782	-0.0027829179536906245	0.040713891493065896	2.147816621855684e-4	0.017934924948285753	TRUE
A_24_P932154	133.07088775768818	-0.0027886174578000485	0.04072599239222947	1.8975849846940267e-11	1.0957885122881e-8	TRUE
A_24_P118719	39.572610357069976	-0.00279290351312272	0.040722369799289226	5.946351914983944e-8	8.614856131248823e-6	TRUE
A_24_P600371	44.52080366441052	-0.002797607684866229	0.040726052238555396	7.58225315660133e-5	0.006954639360641041	TRUE
A_24_P922613	37.89898773438519	-0.0027999759687680967	0.040725767535327986	1.778508379747094e-7	2.337142422103553e-5	TRUE
A_23_P20704	266.5780291710283	-0.002802761143349095	0.04071976179952284	7.955900385338346e-8	1.113282989074649e-5	TRUE
A_24_P650562	70.33896156138309	-0.002804478278046489	0.0407259421282108	5.2070223798527846e-6	5.865052680603411e-4	TRUE
A_23_P323872	197.90752543116588	-0.0028047198377944265	0.04072775960397699	5.329793810486991e-13	6.243472749427618e-10	TRUE
A_24_P794189	117.69732448982455	-0.0028050758737818474	0.04072412501546528	2.492620374663686e-6	2.903336231852589e-4	TRUE
A_24_P463517	56.716067863587284	-0.0028105046568940614	0.040724883343452735	4.488541444483351e-9	8.071499965956904e-7	TRUE
A_32_P221717	42.291095269001936	-0.0028127935617090526	0.04072579593303874	5.249204058093734e-8	7.686334513637253e-6	TRUE
A_24_P926719	51.34193954302149	-0.002817758277828284	0.04072684491226218	1.4642608586036341e-8	2.3543017726568234e-6	TRUE
A_24_P925940	99.69989611805073	-0.0028245628325751096	0.04072543618442627	3.361994597321618e-4	0.026661852706032173	TRUE
A_23_P158461	239.95365849427432	-0.0028264764671544146	0.04072696913537802	1.9421638857643425e-4	0.01631736051564304	TRUE
A_32_P61480	88.90920598196777	-0.002827944720383892	0.04072561320214934	1.0091116778327296e-9	2.3243583590529165e-7	TRUE
A_24_P915189	95.85270543381425	-0.0028289267159170703	0.04072772974529602	1.0511160941998262e-6	1.256436147585798e-4	TRUE
A_32_P10968	12.285948689865874	-0.002836902008122567	0.04072077157491665	3.50028292350034e-5	0.0033927092166315355	TRUE
